,Unnamed: 0,date,sentiment_score,content,source,real_date
0,344,2019-01-02,0.655299,山东交通运输厅：自2019年1月1日起，青岛港、烟台港、日照港的煤炭集港全部改为铁路或水路运输。,sina,2019-01-02
1,137,2019-01-02,0.56696,全国政协副主席、交通运输部党组书记杨传堂1月2日在中国铁路总公司年度工作会上敦促铁路总公司加快股份制改造，中国铁路总公司总经理陆东福也表示，2019年铁路的十六个重点之一要推动总公司的股份制改造，并会推动重点项目股改上市，推进市场化...,10jqka,2019-01-02
2,637,2019-01-02,0.708217,【2019年铁路要跟资本市场亲密接触】全国政协副主席、交通运输部党组书记杨传堂1月2日在中国铁路总公司年度工作会上敦促铁路总公司加快股份制改造，中国铁路总公司总经理陆东福也表示，2019年铁路的十六个重点之一要推动总公司的股份制改造，并会推动重点项目股改上市，推进市场化债转股和上市公司再融资工作。,wallstreetcn,2019-01-02
3,350,2019-01-02,0.655299,山东交通运输厅：自2019年1月1日起，青岛港、烟台港、日照港的煤炭集港全部改为铁路或水路运输。,wallstreetcn,2019-01-02
4,226,2019-01-02,0.722897,云财经讯，山东交通运输厅：自2019年1月1日起，青岛港、烟台港、日照港的煤炭集港全部改为铁路或水路运输,yuncaijing,2019-01-02
5,315,2019-01-02,0.9499780000000001,云财经讯，​记者从山西省交通运输厅获悉，山西省2019年继续对高速公路实行差异化收费优惠政策。根据相关优惠政策，持山西省ETC卡交费的货车在通行多条高速公路时，车辆通行费可直接优惠5成。大重量货车在通行部分高速路段时，通行费实行“递远递减”按里程阶梯收费，阶梯部分最大优惠幅度可达4成。同时山西省还在数条高速公路继续实行分时段差异化收费，在夜间时段货车通行费相当于3折。（新华社）,yuncaijing,2019-01-03
6,441,2019-01-02,0.786878,云财经讯，全国政协副主席、交通运输部党组书记杨传堂1月2日在中国铁路总公司年度工作会上敦促铁路总公司加快股份制改造，中国铁路总公司总经理陆东福也表示，2019年铁路的十六个重点之一要推动总公司的股份制改造，并会推动重点项目股改上市，推进市场化债转股和上市公司再融资工作。,yuncaijing,2019-01-03
7,544,2019-01-02,0.7145739999999999,【2019年铁路要跟资本市场亲密接触】全国政协副主席、交通运输部党组书记杨传堂1月2日在中国铁路总公司年度工作会上敦促铁路总公司加快股份制改造，中国铁路总公司总经理陆东福也表示，2019年铁路的十六个重点之一要推动总公司的股份制改造，并会推动重点项目股改上市，推进市场化债转股和上市公司再融资工作。（中国铁路总公司）,eastmoney,2019-01-03
8,441,2019-01-02,0.952217,【山西：高速公路继续实行差异化收费优惠政策】记者从山西省交通运输厅获悉，山西省2019年继续对高速公路实行差异化收费优惠政策。根据相关优惠政策，持山西省ETC卡交费的货车在通行多条高速公路时，车辆通行费可直接优惠5成。大重量货车在通行部分高速路段时，通行费实行“递远递减”按里程阶梯收费，阶梯部分最大优惠幅度可达4成。同时山西省还在数条高速公路继续实行分时段差异化收费，在夜间时段货车通行费相当于3折。（新华社）,sina,2019-01-03
9,688,2019-01-02,0.708217,【2019年铁路要跟资本市场亲密接触】全国政协副主席、交通运输部党组书记杨传堂1月2日在中国铁路总公司年度工作会上敦促铁路总公司加快股份制改造，中国铁路总公司总经理陆东福也表示，2019年铁路的十六个重点之一要推动总公司的股份制改造，并会推动重点项目股改上市，推进市场化债转股和上市公司再融资工作。,sina,2019-01-03
10,1186,2019-01-03,0.783424,"【2019山东三港口煤炭集港全改为铁路水路运输】对冲研投讯，齐鲁晚报报道，从山东省交通运输厅获悉，按照国家和省加强绿色发展和节能减排的有关工作部署，自2019年1月1日起，山东省青岛港、烟台港、日照港的煤炭集港全部改为铁路或水路运输。
",wallstreetcn,2019-01-03
11,849,2019-01-03,0.325517,"【美国上周首申失业救济数据速评】美国上周首次申请失业救济人数增加1万人至23.1万人，高于预期，尽管金融市场持续波动，但是潜在趋势继续显示劳动力市场维持强势。波动性更小的首申失业救济人数四周均值下滑500人至21.875万人。联邦雇员的数据发布有一周的滞后。12月22日因特朗普的边境墙融资问题，联邦政府部分关门，影响了来自国土安全部、交通运输部、商务部等部门的约80万员工。
",wallstreetcn,2019-01-04
12,768,2019-01-03,0.863402,云财经讯，海口市副市长文斌表示，近年来，海口海洋产业增速明显，预计2018年全市海洋生产总值460亿元，增长8%。海口将把发展海洋新兴产业作为产业结构转型升级的重中之重，瞄准海洋新兴产业，海洋现代服务业国家科研机构和海洋总部企业，加大招商引资力度，吸引国内外知名机构和龙头企业聚集，在海业新资源原、交通运输等领域形成若干个海洋产业集群，推动一批高新涉海企业在海口布局，发展海洋价值链的高端企业。（央广）,yuncaijing,2019-01-04
13,653,2019-01-03,0.81, 云财经讯，今日，2019年全国邮政管理工作会议在京召开，交通运输部部长李小鹏指出，进一步完善农村和西部地区邮政、快递基础设施网络，加强北斗导航系统推广应用，推进邮政业与现代农业、跨境电商等深度融合。持中国邮政集团公司做强、做优、做大，鼓励引导民营快递企业发展。完善邮政业法规体系，积极参与国际事务。,yuncaijing,2019-01-04
14,1125,2019-01-03,0.8959020000000001,【2018海南海洋产业大会3日在海口召开】海口市副市长文斌表示，近年来，海口海洋产业增速明显，预计2018年全市海洋生产总值460亿元，增长8%。海口将把发展海洋新兴产业作为产业结构转型升级的重中之重，瞄准海洋新兴产业，海洋现代服务业国家科研机构和海洋总部企业，加大招商引资力度，吸引国内外知名机构和龙头企业聚集，在海业新资源原、交通运输等领域形成若干个海洋产业集群，推动一批高新涉海企业在海口布局，发展海洋价值链的高端企业。（央广）,sina,2019-01-04
15,993,2019-01-03,0.818997,【李小鹏：推进高质量发展全力开启邮政工作新篇章】今日，2019年全国邮政管理工作会议在京召开，交通运输部部长李小鹏指出，进一步完善农村和西部地区邮政、快递基础设施网络，加强北斗导航系统推广应用，推进邮政业与现代农业、跨境电商等深度融合。持中国邮政集团公司做强、做优、做大，鼓励引导民营快递企业发展。完善邮政业法规体系，积极参与国际事务。,sina,2019-01-04
16,912,2019-01-03,0.381573,【美国上周首申失业救济数据速评】美国上周首次申请失业救济人数增加1万人至23.1万人，高于预期，尽管金融市场持续波动，但是潜在趋势继续显示劳动力市场维持强势。波动性更小的首申失业救济人数四周均值下滑500人至21.875万人。联邦雇员的数据发布有一周的滞后。12月22日因特朗普的边境墙融资问题，联邦政府部分关门，影响了来自国土安全部、交通运输部、商务部等的约80万员工。,sina,2019-01-04
